,"Pincode"," Area","State","Number","Region","Area_Tag","Latitude","Longitude","BMC_Ward"
1,400001,"Mumbai G.P.O.","Maharashtra",16,"Mumbai","Mumbai",18.6291,72.8919,
2,400002,"Thakurdwar","Maharashtra",16,"Mumbai","Mumbai",17.0509,73.291,
3,400003,"Mandvi (Mumbai)","Maharashtra",16,"Mumbai",,18.95,72.8333,
4,400004,"Madhavbaug","Maharashtra",16,"Mumbai","Mumbai",18.95,72.8167,
5,400005,"Colaba","Maharashtra",16,"Mumbai","Mumbai",18.9069,72.8106,
6,400006,"Malabar Hill","Maharashtra",16,"Mumbai","Mumbai",18.95,72.7833,
7,400007,"Tardeo","Maharashtra",16,"Mumbai","Mumbai",18.9667,72.8167,
8,400008,"Kamathipura","Maharashtra",16,"Mumbai","Mumbai",18.6291,72.8919,
9,400009,"Noor Baug","Maharashtra",16,"Mumbai",,18.6291,72.8919,
10,400010,"Dockyard Road","Maharashtra",16,"Mumbai","Mumbai",18.3667,72.9333,
45,400011,"Agripada","Maharashtra",16,"Mumbai","Mumbai",18.9833,72.8333,
54,400012,"Parel Rly Work Shop","Maharashtra",16,"Mumbai",,19,72.8333,
56,400013,"Delisle Road","Maharashtra",16,"Mumbai","Mumbai",18.9448,72.8524,
57,400014,"Naigaon (Mumbai)","Maharashtra",16,"Mumbai","Mumbai",19.0201,72.8381,
60,400015,"Sewri","Maharashtra",16,"Mumbai","Mumbai",19,72.85,
65,400016,"Mahim E","Maharashtra",16,"Mumbai","Mumbai",19.0333,72.85,
66,400017,"Dharavi Road","Maharashtra",16,"Mumbai","Mumbai",19.05,72.8667,
68,400018,"Worli","Maharashtra",16,"Mumbai","Mumbai",19.0167,72.8167,
70,400019,"Matunga","Maharashtra",16,"Mumbai","Mumbai",19.0333,72.85,
73,400020,"Central Building","Maharashtra",16,"Mumbai","Mumbai",18.986,72.8259,
74,400021,"Nariman Point","Maharashtra",16,"Mumbai","Mumbai",18.9274,72.8241,
76,400022,"Sion","Maharashtra",16,"Mumbai","Mumbai",19.0333,72.85,
80,400024,"Nehru Nagar (Mumbai)","Maharashtra",16,"Mumbai","Mumbai",18.986,72.8259,
82,400025,"New Prabhadevi Road","Maharashtra",16,"Mumbai","Mumbai",19.0164,72.8294,
83,400026,"Cumballa Sea Face","Maharashtra",16,"Mumbai","Mumbai",18.9667,72.8,
