officename,pincode,officeType,Deliverystatus,divisionname,regionname,circlename,Taluk,Districtname,statename,Telephone,Related Suboffice,Related Headoffice,longitude,latitude
Antop Hill S.O,400037,S.O,Delivery,Mumbai  East,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-24120290,NA,Dadar H.O,NA,NA
B P T Colony S.O,400037,S.O,Non-Delivery,Mumbai  East,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-4100525,NA,Dadar H.O,NA,NA
B.P.Lane S.O,400003,S.O,Non-Delivery,Mumbai  East,Mumbai,Maharashtra,NA,Mumbai,MAHARASHTRA,022-23421653,NA,Chinchbunder H.O,NA,NA
BEST STaff Quarters S.O,400012,S.O,Non-Delivery,Mumbai  East,Mumbai,Maharashtra,NA,Mumbai,MAHARASHTRA,022-24180776,NA,Chinchbunder H.O,NA,NA
C G S Colony S.O,400037,S.O,Non-Delivery,Mumbai  East,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-24097933,NA,Dadar H.O,NA,NA
Chamarbaug S.O,400012,S.O,Non-Delivery,Mumbai  East,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-24705407,NA,Chinchbunder H.O,NA,NA
Chinchbunder H.O,400009,H.O,Delivery,Mumbai  East,Mumbai,Maharashtra,NA,Mumbai,MAHARASHTRA,022-23771116,NA,NA,NA,NA
Cotton Exchange S.O,400033,S.O,Non-Delivery,Mumbai  East,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-23742035,NA,Chinchbunder H.O,NA,NA
Dadar Colony S.O,400014,S.O,Non-Delivery,Mumbai  East,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-23774238,NA,Dadar H.O,NA,NA
Dadar H.O,400014,H.O,Delivery,Mumbai  East,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-24168410,NA,NA,NA,NA
Dockyard Road S.O,400010,S.O,Non-Delivery,Mumbai  East,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-23774238,NA,Chinchbunder H.O,NA,NA
Haffkin Institute S.O,400012,S.O,Non-Delivery,Mumbai  East,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-24125871,NA,Dadar H.O,NA,NA
Kalachowki S.O,400033,S.O,Non-Delivery,Mumbai  East,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-23724722,NA,Chinchbunder H.O,NA,NA
Kidwai Nagar S.O (Mumbai),400031,S.O,Non-Delivery,Mumbai  East,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-23724722,NA,Dadar H.O,NA,NA
L B S N E collage S.O,400033,S.O,Non-Delivery,Mumbai  East,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-23744235,NA,Chinchbunder H.O,NA,NA
Lal Baug S.O,400012,S.O,Non-Delivery,Mumbai  East,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-24702340,NA,Chinchbunder H.O,NA,NA
