,"Ward","Pincode","Address","Unnamed: 0"," Area","State","Number","Region","Area_Tag","Latitude","Longitude","BMC_Ward"
0,"A ",400001,"Blossoms,ModiStrret,OppFishMarket,Fort",1,"Mumbai G.P.O.","Maharashtra",16,"Mumbai","Mumbai",18.6292,72.8921,
1,"A ",400001,"Sahayog,5,MintRoad,OppGpo,Fort",1,"Mumbai G.P.O.","Maharashtra",16,"Mumbai","Mumbai",18.6291,72.8919,
2,"A ",400005,"AbbasBuilding,BKBomanBehramMarg,BackSideOfTajHotel,Colaba",5,"Colaba","Maharashtra",16,"Mumbai","Mumbai",18.9069,72.8106,
3,"A ",400005,"BandusCourt,1StPastaLane,Colaba",5,"Colaba","Maharashtra",16,"Mumbai","Mumbai",18.9069,72.8106,
4,"A ",400005,"GaneshmurthiNagarPartNo1,3,CaptainPrakashPetheMarg,Colaba",5,"Colaba","Maharashtra",16,"Mumbai","Mumbai",18.9069,72.8106,
5,"A ",400005,"GaneshmurthiNagarPartNo2,CaptainPrakashPetheMarg,Colaba",5,"Colaba","Maharashtra",16,"Mumbai","Mumbai",18.9069,72.8106,
6,"A ",400005,"MistryChamber,StrandRoad,NearStrandRoad,Colaba",5,"Colaba","Maharashtra",16,"Mumbai","Mumbai",18.9069,72.8106,
7,"A ",400005,"MuniraBuilding,ShahidBhagatsinghRoad,NearDelhiDarbarHotel,Colaba",5,"Colaba","Maharashtra",16,"Mumbai","Mumbai",18.9069,72.8106,
8,"A ",400005,"NarangHouse,ArthurBunderRoad,NearGatewayOfIndia,Colaba",5,"Colaba","Maharashtra",16,"Mumbai","Mumbai",18.9069,72.8106,
9,"A ",400005,"ShivshaktiNagar,FreePressJournalRoad,NarimanPoint,Colaba",5,"Colaba","Maharashtra",16,"Mumbai","Mumbai",18.9069,72.8106,
10,"A ",400005,"SunderNagar,IndumatiSakrikarMarg,NearColabaMarket,Colaba",5,"Colaba","Maharashtra",16,"Mumbai","Mumbai",18.9069,72.8106,
11,"A ",400020,"BirlaMatoshreeQuarters,BomabyHospitalPremises,VitthaldasThakrsiMarg,MarineLines",73,"Central Building","Maharashtra",16,"Mumbai","Mumbai",18.986,72.8259,
12,"A ",400021,"GaribJanataNagar,BadhwarPark,CaptainPrakashPetheMarg,CuffeParade",74,"Nariman Point","Maharashtra",16,"Mumbai","Mumbai",18.9274,72.8241,
13,"A ",400021,"GeetaNagar,DrHomiBhabhaRoad,NearNavyNagar,Colaba",74,"Nariman Point","Maharashtra",16,"Mumbai","Mumbai",18.9274,72.8241,
14,"B ",400003,"HajiMansion,TantanpuraRd,",3,"Mandvi (Mumbai)","Maharashtra",16,"Mumbai",,18.95,72.8333,
15,"B ",400003,"Hutment,SantTukaramRoad,",3,"Mandvi (Mumbai)","Maharashtra",16,"Mumbai",,18.95,72.8333,
16,"B ",400003,"LuckyMansion,MohdAliRd,",3,"Mandvi (Mumbai)","Maharashtra",16,"Mumbai",,18.95,72.8333,
17,"B ",400003,"MadinaManzil,OldBengalipura,",3,"Mandvi (Mumbai)","Maharashtra",16,"Mumbai",,18.95,72.8333,
18,"B ",400003,"NobelTower,ZakeriaMasjidStreet,",3,"Mandvi (Mumbai)","Maharashtra",16,"Mumbai",,18.95,72.8333,
19,"B ",400003,"NoorHospitalBuilding,MohdAliRd,",3,"Mandvi (Mumbai)","Maharashtra",16,"Mumbai",,18.95,72.8333,
20,"B ",400003,"RKManzil,OldBengalipura,",3,"Mandvi (Mumbai)","Maharashtra",16,"Mumbai",,18.95,72.8333,
21,"B ",400009,"AWing,KgnCHS,KgnCHS,ImamwadaRoad,",9,"Noor Baug","Maharashtra",16,"Mumbai",,18.6291,72.8919,
22,"B ",400009,"AmirAliBuilding,ShahidaMarg,",9,"Noor Baug","Maharashtra",16,"Mumbai",,18.6291,72.8919,
23,"B ",400009,"GNHeights,NishanpadaRoad,",9,"Noor Baug","Maharashtra",16,"Mumbai",,18.6291,72.8919,
24,"B ",400009,"GandhiGodown,MasjidSidingRoad,",9,"Noor Baug","Maharashtra",16,"Mumbai",,18.6291,72.8919,
25,"B ",400009,"GustadChamber,LNJadhavMarg,",9,"Noor Baug","Maharashtra",16,"Mumbai",,18.6291,72.8919,
26,"B ",400009,"IbrahimManor,SvpRd,",9,"Noor Baug","Maharashtra",16,"Mumbai",,18.6291,72.8919,
27,"B ",400009,"JayrajPirbhaiBuilding,SamuelStreet,",9,"Noor Baug","Maharashtra",16,"Mumbai",,18.6291,72.8919,
28,"B ",400009,"JumaMasjidBuilding,NishanpadaRoad,",9,"Noor Baug","Maharashtra",16,"Mumbai",,18.6291,72.8919,
29,"B ",400009,"KashmiriManzilBuilding,JBShahMarg,",9,"Noor Baug","Maharashtra",16,"Mumbai",,18.6291,72.8919,
30,"B ",400009,"KhatijabaiBuilding,NishanpadaRoad,",9,"Noor Baug","Maharashtra",16,"Mumbai",,18.6291,72.8919,
31,"B ",400009,"SabooSiddiqueHospitalBuilding,ImamwadaRd,",9,"Noor Baug","Maharashtra",16,"Mumbai",,18.6291,72.8919,
32,"B ",400009,"SamsonApt,RamchandraBhattMarg,",9,"Noor Baug","Maharashtra",16,"Mumbai",,18.6291,72.8919,
33,"C ",400003,"AWing,SuryadarshanBuilding,SuryadarshanBuildingAWing,SantsenaMarg,SecondKumbharwada,Girgaon",3,"Mandvi (Mumbai)","Maharashtra",16,"Mumbai",,18.95,72.8333,
34,"C ",400003,"BWing,SuryadarshanBuilding,SuryadarshanBuildingBWing,SantsenaMarg,SecondKumbharwada,Girgaon",3,"Mandvi (Mumbai)","Maharashtra",16,"Mumbai",,18.95,72.8333,
35,"C ",400003,"BoriChawl,KapreshwarMarg,Fanaswadi,Kalbadevi",3,"Mandvi (Mumbai)","Maharashtra",16,"Mumbai",,18.95,72.8333,
